CountryName,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cuba,5730.354775,6139.71933,6497.321113,6837.712892,7133.342095,7694.01192,8060.795886,8541.210673,
Curacao,,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585,19457.53152,
Cayman Islands,,,,,,,,56334.21399,
Cyprus,30818.47993,32233.64339,28984.94455,27942.30127,27407.15286,23217.48415,24019.13787,25760.7627,28159.3017
Czech Republic,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18463.38658,20379.89604,23078.57349
Germany,41785.55691,46810.32796,44065.24891,46530.91143,48142.8272,41394.65816,42443.46507,44681.08258,48195.5799
Djibouti,1343.26873,1451.54298,1559.240651,1499.767022,1619.05148,1787.4775,1898.87599,1953.903502,2050.204732
Dominica,6967.245314,7065.053067,6848.418067,7068.535745,7364.996522,7597.750446,8070.290917,6951.303542,7031.709754
Denmark,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.856,54467.10452,57218.85485,60726.46654
Dominican Republic,5568.046676,5891.159025,6107.977431,6236.104369,6499.149883,6691.71692,6957.564507,7222.554044,7650.072753
Algeria,4480.785777,5455.84231,5592.22191,5499.587764,5493.056772,4177.888966,3948.811897,4048.285258,4278.85006
East Asia & Pacific (excluding high income),4002.599653,4855.832973,5375.715573,5887.596083,6282.875322,6487.756902,6554.791243,7081.776379,7820.71228
Early-demographic dividend,2938.879732,3246.211837,3354.503243,3367.696207,3439.546743,3291.528607,3321.457299,3545.022221,3581.455983
East Asia & Pacific,7673.741646,8836.854594,9392.895426,9433.150535,9647.929555,9526.576304,9766.122869,10332.83226,11132.22966
Europe & Central Asia (excluding high income),7773.169715,9555.609269,10063.02679,10633.84328,9885.828581,7517.912478,7161.513553,7979.76034,8125.769061
Europe & Central Asia,23572.57527,26053.05278,25010.97995,26014.02812,26249.60504,22500.03684,22328.77633,23517.20535,25077.98448
Ecuador,4633.590358,5200.55579,5682.045007,6056.330827,6377.09153,6124.491643,6060.093329,6213.501276,6344.871979
"Egypt, Arab Rep.",2644.817039,2791.954962,3232.648892,3264.378787,3378.831358,3598.970948,3525.020165,2440.510173,2549.139458
Euro area,37635.97189,40638.0356,37635.10616,39142.03909,39883.2009,34412.45439,35175.70108,37047.77561,40012.50166
Eritrea,667.7441778,811.3760286,,,,,,,
Spain,30736.62785,31835.2888,28563.85904,29211.77375,29623.16445,25817.38661,26622.29914,28208.26105,30523.85924
Estonia,14638.60482,17454.84342,17421.89022,19072.23852,20247.1993,17412.44867,18228.05825,20200.37559,22927.74442
Ethiopia,341.5541149,354.4795758,467.0779272,499.5315721,566.9264665,639.3043597,716.8800387,768.0104163,772.3122278
European Union,33729.24065,36456.54845,34284.28744,35635.2239,36735.32708,32265.88088,32376.28376,33873.285,36546.39969
Fragile and conflict affected situations,1510.916231,1611.6917,1812.548337,1843.283023,1820.359085,1604.72826,1505.914919,1646.063393,1615.771362
Finland,46202.41516,50790.72415,47415.55987,49638.07713,49914.61864,42494.65662,43493.41934,45809.97338,49648.14926
Fiji,3652.527437,4371.45751,4591.555784,4840.693716,5605.570356,5390.745258,5647.347365,6006.360622,6202.162267
France,40638.334,43790.73205,40874.70351,42592.93409,43008.64738,36613.37522,36962.22229,38679.12715,41463.64402
Faroe Islands,48530.23385,52083.88914,49459.71723,54853.6256,59440.03076,52404.65933,55822.91472,,
"Micronesia, Fed. Sts.",2881.376141,3001.470275,3120.669627,2983.597983,2959.620647,2894.345011,2993.200563,3018.396899,3058.431818
Gabon,8840.730664,10795.50058,9814.038992,9680.824339,9650.574376,7381.746749,6979.709196,7212.535744,8029.822384
United Kingdom,39079.84261,41652.55709,42018.72546,42938.42518,46967.66814,44472.1517,40539.91961,39932.06029,42491.36444
Georgia,3073.524753,3842.618221,4249.670165,4341.435122,4438.687497,3756.383768,3857.281728,4045.41705,4344.630952
Ghana,1298.436952,1558.482133,1613.286837,2378.159512,1968.858263,1766.005701,1931.38947,2025.885857,2202.312165
Gibraltar,,,,,,,,,
Guinea,672.4244026,651.1353635,717.0507379,769.0039433,787.2380702,769.2560137,733.0207588,821.6514609,885.2512282
"Gambia, The",530.7876934,486.049535,477.7012604,696.1521248,622.054103,668.3812029,671.1052855,672.7805341,712.4523977
Guinea-Bissau,557.6321326,702.7428804,616.4116862,634.482446,622.4817167,603.1585129,661.0076549,736.7255662,777.9699218
Equatorial Guinea,17272.00977,21613.54923,21712.39502,20384.92453,19368.23091,11278.92894,9244.051798,9738.434224,10173.96302
Greece,26917.75898,25916.29353,22242.68193,21874.8195,21760.9798,18167.77372,18116.45962,18883.46007,20324.25356
Grenada,7257.756622,7291.058897,7444.504768,7789.776381,8369.886755,9096.870646,9628.347487,10163.62985,10833.65833
Greenland,43988.33249,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131,48295.56244,,
Guatemala,2825.519029,3187.866203,3299.665605,3452.921679,3687.836951,3923.573344,4140.590064,4470.610798,4549.010081
Guam,30700.43401,30859.40435,32494.56236,33265.38119,34394.09748,35278.92594,35550.56428,35664.50168,
Guyana,3033.247725,3425.436441,3788.146749,3934.865262,4031.600662,4166.134826,4542.622067,4586.054572,4634.681335
High income,39169.92484,42067.232,41867.82061,42121.52473,42775.9173,40165.80357,40761.64977,42350.05631,44714.74107
"Hong Kong SAR, China",32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43734.24999,46220.50455,48717.29121
Honduras,1891.157395,2073.903958,2129.521698,2088.097944,2190.650715,2286.200039,2326.297027,2432.935364,2482.730206
Heavily indebted poor countries (HIPC),759.4144019,825.3683617,863.6114447,937.1300373,963.6648716,920.4532125,917.3080522,991.9852918,932.0983588
Croatia,13937.14227,14577.19889,13250.75712,13665.91418,13609.49731,11780.13124,12366.82154,13383.6835,14869.09068
Haiti,665.6274195,744.2174268,769.7073834,812.68869,831.9598193,815.7282844,735.7551202,765.6139847,868.2847996
Hungary,13092.23376,14118.12263,12888.30459,13668.22605,14197.837,12503.68207,12839.58454,14278.8745,15938.8368
